T,chi,chi_err
1.00000000e-05,5.89380837e-04,2.63711012e-05
1.00000000e-02,5.06145321e-04,2.26468331e-05
5.00000000e-02,5.11109069e-01,2.28689298e-02
1.00000000e-01,2.28264478e+01,1.02134058e+00
1.50000000e-01,5.33055629e+01,2.38509009e+00
1.60000000e-01,4.39127716e+01,1.96482150e+00
1.70000000e-01,8.15087865e+01,3.64700771e+00
1.80000000e-01,2.33674692e+02,1.04554790e+01
1.85000000e-01,2.00063483e+02,8.95158786e+00
1.90000000e-01,1.04556884e+02,4.67826571e+00
1.95000000e-01,9.59889920e+02,4.29490621e+01
2.00000000e-01,1.81467118e+03,8.11951700e+01
2.05000000e-01,5.80657864e+02,2.59808028e+01
2.10000000e-01,1.21969883e+02,5.45738838e+00
2.15000000e-01,9.54092117e+01,4.26896468e+00
2.20000000e-01,7.41065395e+01,3.31580352e+00
2.50000000e-01,1.26031896e+01,5.63913802e-01
3.00000000e-01,4.44699010e+00,1.98974955e-01
